codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+0040,@,COMMERCIAL AT,Po,39,STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0041,A,LATIN CAPITAL LETTER A,Lu,16940,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0042,B,LATIN CAPITAL LETTER B,Lu,5641,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0043,C,LATIN CAPITAL LETTER C,Lu,9774,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0044,D,LATIN CAPITAL LETTER D,Lu,5005,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0045,E,LATIN CAPITAL LETTER E,Lu,19082,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0046,F,LATIN CAPITAL LETTER F,Lu,2495,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0047,G,LATIN CAPITAL LETTER G,Lu,5431,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0048,H,LATIN CAPITAL LETTER H,Lu,2548,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0049,I,LATIN CAPITAL LETTER I,Lu,9471,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
