codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+533A,区,CJK UNIFIED IDEOGRAPH-533A,Lo,833,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+533B,医,CJK UNIFIED IDEOGRAPH-533B,Lo,170,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+533F,匿,CJK UNIFIED IDEOGRAPH-533F,Lo,5,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5341,十,CJK UNIFIED IDEOGRAPH-5341,Lo,88,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5343,千,CJK UNIFIED IDEOGRAPH-5343,Lo,43,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5347,升,CJK UNIFIED IDEOGRAPH-5347,Lo,1612,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5348,午,CJK UNIFIED IDEOGRAPH-5348,Lo,7,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+534A,半,CJK UNIFIED IDEOGRAPH-534A,Lo,174,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+534E,华,CJK UNIFIED IDEOGRAPH-534E,Lo,71,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+534F,协,CJK UNIFIED IDEOGRAPH-534F,Lo,85,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5351,卑,CJK UNIFIED IDEOGRAPH-5351,Lo,39,BRIEFING_NBE | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5353,卓,CJK UNIFIED IDEOGRAPH-5353,Lo,5,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5355,单,CJK UNIFIED IDEOGRAPH-5355,Lo,793,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5356,卖,CJK UNIFIED IDEOGRAPH-5356,Lo,20,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5357,南,CJK UNIFIED IDEOGRAPH-5357,Lo,715,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+535A,博,CJK UNIFIED IDEOGRAPH-535A,Lo,85,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+535C,卜,CJK UNIFIED IDEOGRAPH-535C,Lo,5,SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5360,占,CJK UNIFIED IDEOGRAPH-5360,Lo,209,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5361,卡,CJK UNIFIED IDEOGRAPH-5361,Lo,598,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5362,卢,CJK UNIFIED IDEOGRAPH-5362,Lo,2,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5366,卦,CJK UNIFIED IDEOGRAPH-5366,Lo,1,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5367,卧,CJK UNIFIED IDEOGRAPH-5367,Lo,8,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+536B,卫,CJK UNIFIED IDEOGRAPH-536B,Lo,592,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5370,印,CJK UNIFIED IDEOGRAPH-5370,Lo,99,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5371,危,CJK UNIFIED IDEOGRAPH-5371,Lo,115,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5373,即,CJK UNIFIED IDEOGRAPH-5373,Lo,1007,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5374,却,CJK UNIFIED IDEOGRAPH-5374,Lo,121,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5375,卵,CJK UNIFIED IDEOGRAPH-5375,Lo,1,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5377,卷,CJK UNIFIED IDEOGRAPH-5377,Lo,20,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5378,卸,CJK UNIFIED IDEOGRAPH-5378,Lo,19,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5382,厂,CJK UNIFIED IDEOGRAPH-5382,Lo,37,BRIEFING_NBE | SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5385,厅,CJK UNIFIED IDEOGRAPH-5385,Lo,8,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5386,历,CJK UNIFIED IDEOGRAPH-5386,Lo,58,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5389,厉,CJK UNIFIED IDEOGRAPH-5389,Lo,212,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+538B,压,CJK UNIFIED IDEOGRAPH-538B,Lo,213,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+538C,厌,CJK UNIFIED IDEOGRAPH-538C,Lo,47,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5395,厕,CJK UNIFIED IDEOGRAPH-5395,Lo,1,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5398,厘,CJK UNIFIED IDEOGRAPH-5398,Lo,3,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+539A,厚,CJK UNIFIED IDEOGRAPH-539A,Lo,30,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+539F,原,CJK UNIFIED IDEOGRAPH-539F,Lo,372,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53A2,厢,CJK UNIFIED IDEOGRAPH-53A2,Lo,2,YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53A5,厥,CJK UNIFIED IDEOGRAPH-53A5,Lo,37,SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53A8,厨,CJK UNIFIED IDEOGRAPH-53A8,Lo,36,SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53AE,厮,CJK UNIFIED IDEOGRAPH-53AE,Lo,2,BRIEFING_NBE | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53BB,去,CJK UNIFIED IDEOGRAPH-53BB,Lo,2623,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53C2,参,CJK UNIFIED IDEOGRAPH-53C2,Lo,127,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53C8,又,CJK UNIFIED IDEOGRAPH-53C8,Lo,380,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53C9,叉,CJK UNIFIED IDEOGRAPH-53C9,Lo,15,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53CA,及,CJK UNIFIED IDEOGRAPH-53CA,Lo,217,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53CB,友,CJK UNIFIED IDEOGRAPH-53CB,Lo,389,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53CC,双,CJK UNIFIED IDEOGRAPH-53CC,Lo,319,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53CD,反,CJK UNIFIED IDEOGRAPH-53CD,Lo,430,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53D1,发,CJK UNIFIED IDEOGRAPH-53D1,Lo,7101,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53D6,取,CJK UNIFIED IDEOGRAPH-53D6,Lo,1004,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53D7,受,CJK UNIFIED IDEOGRAPH-53D7,Lo,618,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53D8,变,CJK UNIFIED IDEOGRAPH-53D8,Lo,630,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53DB,叛,CJK UNIFIED IDEOGRAPH-53DB,Lo,100,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53E0,叠,CJK UNIFIED IDEOGRAPH-53E0,Lo,1,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53E3,口,CJK UNIFIED IDEOGRAPH-53E3,Lo,1038,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53E4,古,CJK UNIFIED IDEOGRAPH-53E4,Lo,162,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53E5,句,CJK UNIFIED IDEOGRAPH-53E5,Lo,68,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53E6,另,CJK UNIFIED IDEOGRAPH-53E6,Lo,106,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53EA,只,CJK UNIFIED IDEOGRAPH-53EA,Lo,1096,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53EB,叫,CJK UNIFIED IDEOGRAPH-53EB,Lo,311,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53EC,召,CJK UNIFIED IDEOGRAPH-53EC,Lo,22,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53EE,叮,CJK UNIFIED IDEOGRAPH-53EE,Lo,6,SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53EF,可,CJK UNIFIED IDEOGRAPH-53EF,Lo,4921,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F0,台,CJK UNIFIED IDEOGRAPH-53F0,Lo,385,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F2,史,CJK UNIFIED IDEOGRAPH-53F2,Lo,32,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F3,右,CJK UNIFIED IDEOGRAPH-53F3,Lo,222,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F6,叶,CJK UNIFIED IDEOGRAPH-53F6,Lo,37,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F7,号,CJK UNIFIED IDEOGRAPH-53F7,Lo,478,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F8,司,CJK UNIFIED IDEOGRAPH-53F8,Lo,197,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+53F9,叹,CJK UNIFIED IDEOGRAPH-53F9,Lo,7,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5403,吃,CJK UNIFIED IDEOGRAPH-5403,Lo,536,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5404,各,CJK UNIFIED IDEOGRAPH-5404,Lo,325,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5408,合,CJK UNIFIED IDEOGRAPH-5408,Lo,539,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5409,吉,CJK UNIFIED IDEOGRAPH-5409,Lo,46,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+540A,吊,CJK UNIFIED IDEOGRAPH-540A,Lo,70,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+540C,同,CJK UNIFIED IDEOGRAPH-540C,Lo,1407,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+540D,名,CJK UNIFIED IDEOGRAPH-540D,Lo,700,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+540E,后,CJK UNIFIED IDEOGRAPH-540E,Lo,2986,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5410,吐,CJK UNIFIED IDEOGRAPH-5410,Lo,5,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5411,向,CJK UNIFIED IDEOGRAPH-5411,Lo,817,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5413,吓,CJK UNIFIED IDEOGRAPH-5413,Lo,68,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5417,吗,CJK UNIFIED IDEOGRAPH-5417,Lo,3370,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+541B,君,CJK UNIFIED IDEOGRAPH-541B,Lo,3,BRIEFING_NBE | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+541D,吝,CJK UNIFIED IDEOGRAPH-541D,Lo,1,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+541E,吞,CJK UNIFIED IDEOGRAPH-541E,Lo,7,BRIEFING_NBE | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5426,否,CJK UNIFIED IDEOGRAPH-5426,Lo,326,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5427,吧,CJK UNIFIED IDEOGRAPH-5427,Lo,2422,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5428,吨,CJK UNIFIED IDEOGRAPH-5428,Lo,4,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5429,吩,CJK UNIFIED IDEOGRAPH-5429,Lo,4,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+542B,含,CJK UNIFIED IDEOGRAPH-542B,Lo,126,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+542C,听,CJK UNIFIED IDEOGRAPH-542C,Lo,1040,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+542F,启,CJK UNIFIED IDEOGRAPH-542F,Lo,569,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5435,吵,CJK UNIFIED IDEOGRAPH-5435,Lo,10,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5438,吸,CJK UNIFIED IDEOGRAPH-5438,Lo,189,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5439,吹,CJK UNIFIED IDEOGRAPH-5439,Lo,9,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+543B,吻,CJK UNIFIED IDEOGRAPH-543B,Lo,1,BRIEFING_NBE,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+543C,吼,CJK UNIFIED IDEOGRAPH-543C,Lo,17,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5440,呀,CJK UNIFIED IDEOGRAPH-5440,Lo,34,BRIEFING_NBE | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5443,呃,CJK UNIFIED IDEOGRAPH-5443,Lo,168,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5448,呈,CJK UNIFIED IDEOGRAPH-5448,Lo,10,SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+544A,告,CJK UNIFIED IDEOGRAPH-544A,Lo,1135,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5450,呐,CJK UNIFIED IDEOGRAPH-5450,Lo,28,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5455,呕,CJK UNIFIED IDEOGRAPH-5455,Lo,5,SLOT_OLANG | STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5458,员,CJK UNIFIED IDEOGRAPH-5458,Lo,1174,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+545B,呛,CJK UNIFIED IDEOGRAPH-545B,Lo,7,BRIEFING_NBE | SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+545C,呜,CJK UNIFIED IDEOGRAPH-545C,Lo,59,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5462,呢,CJK UNIFIED IDEOGRAPH-5462,Lo,406,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5468,周,CJK UNIFIED IDEOGRAPH-5468,Lo,174,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5473,味,CJK UNIFIED IDEOGRAPH-5473,Lo,247,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5475,呵,CJK UNIFIED IDEOGRAPH-5475,Lo,49,BRIEFING_NBE | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+547C,呼,CJK UNIFIED IDEOGRAPH-547C,Lo,64,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+547D,命,CJK UNIFIED IDEOGRAPH-547D,Lo,1366,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5486,咆,CJK UNIFIED IDEOGRAPH-5486,Lo,6,BRIEFING_NBE | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+548C,和,CJK UNIFIED IDEOGRAPH-548C,Lo,2240,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5490,咐,CJK UNIFIED IDEOGRAPH-5490,Lo,4,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5492,咒,CJK UNIFIED IDEOGRAPH-5492,Lo,77,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5495,咕,CJK UNIFIED IDEOGRAPH-5495,Lo,9,SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+5496,咖,CJK UNIFIED IDEOGRAPH-5496,Lo,193,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+549A,咚,CJK UNIFIED IDEOGRAPH-549A,Lo,1,SLOT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+54A6,咦,CJK UNIFIED IDEOGRAPH-54A6,Lo,95,BRIEFING_NBE | SLOT_OLANG | YPK_GTT,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+54A7,咧,CJK UNIFIED IDEOGRAPH-54A7,Lo,6,LOOSE_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+54A8,咨,CJK UNIFIED IDEOGRAPH-54A8,Lo,1,STAGEDAT_OLANG,YES,NO,NO,NO,NO,UNKNOWN / UNION_REQUIRED
